Date,Domain,SSP_Dash,SSP_Impressions,SSP,SSP Dash,SSP Impr
2025-05-17,na,0.0,0.0,PubMatic,,
2025-05-17,others,92.32,70203.0,PubMatic,,
2025-05-17,unknown,19.84,9056.0,PubMatic,,
2025-05-17,macys.com,0.13,47.0,PubMatic,,
2025-05-17,ae.com,0.21,72.0,PubMatic,,
2025-05-17,americanexpress.com,2.36,1434.0,PubMatic,,
2025-05-17,audible.com,0.0,6.0,PubMatic,,
2025-05-17,britishairways.com,0.02,19.0,PubMatic,,
2025-05-17,capitalone.com,0.58,827.0,PubMatic,,
2025-05-17,coldwatercreek.com,0.0,3.0,PubMatic,,
2025-05-17,converse.com,0.0,1.0,PubMatic,,
2025-05-17,creditkarma.com,0.0,4.0,PubMatic,,
2025-05-17,cvs.com,0.31,211.0,PubMatic,,
2025-05-17,dell.com,0.32,525.0,PubMatic,,
2025-05-17,dominos.com,0.03,27.0,PubMatic,,
2025-05-17,gerberlife.com,1.63,271.0,PubMatic,,
2025-05-17,homedepot.com,0.76,195.0,PubMatic,,
2025-05-17,hrblock.com,0.07,51.0,PubMatic,,
2025-05-17,irobot.com,0.0,1.0,PubMatic,,
2025-05-17,jjill.com,0.0,1.0,PubMatic,,
2025-05-17,kayak.com,0.18,67.0,PubMatic,,
2025-05-17,king.com,0.0,0.0,PubMatic,,
2025-05-17,klm.com,0.02,106.0,PubMatic,,
2025-05-17,kroger.com,4.35,1873.0,PubMatic,,
2025-05-17,louisville.edu,0.01,5.0,PubMatic,,
2025-05-17,mazdausa.com,0.02,2.0,PubMatic,,
2025-05-17,performancebike.com,0.0,0.0,PubMatic,,
2025-05-17,proactiv.com,0.08,123.0,PubMatic,,
2025-05-17,roadrunnersports.com,0.0,0.0,PubMatic,,
2025-05-17,salliemae.com,0.0,0.0,PubMatic,,
2025-05-17,soccer.com,0.0,0.0,PubMatic,,
2025-05-17,sportsmansguide.com,0.0,1.0,PubMatic,,
2025-05-17,tillys.com,0.0,4.0,PubMatic,,
2025-05-17,underarmour.com,0.02,44.0,PubMatic,,
2025-05-17,vanguard.com,0.0,0.0,PubMatic,,
2025-05-17,verabradley.com,0.0,0.0,PubMatic,,
2025-05-17,verizon.com,0.3,238.0,PubMatic,,
2025-05-17,windstream.com,0.0,4.0,PubMatic,,
2025-05-17,coldwellbanker.com,0.02,16.0,PubMatic,,
2025-05-17,flor.com,0.0,10.0,PubMatic,,
2025-05-17,mattressland.com,0.0,1.0,PubMatic,,
2025-05-17,zquiet.com,0.22,123.0,PubMatic,,
2025-05-17,baseballsavings.com,0.0,0.0,PubMatic,,
2025-05-17,helzberg.com,0.0,0.0,PubMatic,,
2025-05-17,meaningfulbeauty.com,0.01,4.0,PubMatic,,
2025-05-17,shoemall.com,0.0,0.0,PubMatic,,
2025-05-17,speedwaymotors.com,0.0,2.0,PubMatic,,
2025-05-17,wolverine.com,0.0,1.0,PubMatic,,
2025-05-17,duluthtrading.com,0.02,12.0,PubMatic,,
2025-05-17,kleenex.com,0.11,265.0,PubMatic,,
2025-05-17,lithia.com,0.12,84.0,PubMatic,,
2025-05-17,mouser.com,0.0,3.0,PubMatic,,
2025-05-17,quiltednorthern.com,0.04,150.0,PubMatic,,
2025-05-17,electronicpaymentscoalition.org,0.01,1.0,PubMatic,,
2025-05-17,pnc.com,0.02,12.0,PubMatic,,
2025-05-17,airfrance.us,0.0,1.0,PubMatic,,
2025-05-17,homeserve.com,0.11,157.0,PubMatic,,
2025-05-17,allstate.com,223.74,43126.0,PubMatic,,
2025-05-17,bestwestern.com,33.27,7214.0,PubMatic,,
2025-05-17,expedia.com,0.55,353.0,PubMatic,,
2025-05-17,hilton.com,0.15,89.0,PubMatic,,
2025-05-17,5thavenue.org,0.0,3.0,PubMatic,,
2025-05-17,cat.com,0.03,5.0,PubMatic,,
2025-05-17,deltafaucet.com,3.11,3306.0,PubMatic,,
2025-05-17,giorgioarmanibeauty-usa.com,0.0,0.0,PubMatic,,
2025-05-17,texasballettheater.org,0.06,26.0,PubMatic,,
2025-05-17,uc.edu,0.01,14.0,PubMatic,,
2025-05-17,volkswagen.ch,0.0,0.0,PubMatic,,
2025-05-17,callofduty.com,0.0,0.0,PubMatic,,
2025-05-17,ameriprise.com,0.0,4.0,PubMatic,,
2025-05-17,chuckecheese.com,0.01,7.0,PubMatic,,
2025-05-17,fromyouflowers.com,0.0,0.0,PubMatic,,
2025-05-17,roku.com,0.17,455.0,PubMatic,,
2025-05-17,forbes.com,0.0,1.0,PubMatic,,
2025-05-17,angara.com,0.0,1.0,PubMatic,,
2025-05-17,olo.com,0.23,200.0,PubMatic,,
2025-05-17,peterpiperpizza.com,0.02,17.0,PubMatic,,
2025-05-17,swatch.com,0.0,2.0,PubMatic,,
2025-05-17,wpunj.edu,0.33,143.0,PubMatic,,
2025-05-17,energizer.com,0.05,25.0,PubMatic,,
2025-05-17,chadwicks.com,0.0,1.0,PubMatic,,
2025-05-17,crunchyroll.com,0.33,884.0,PubMatic,,
2025-05-17,newbalance.com,0.32,495.0,PubMatic,,
2025-05-17,ctshirts.com,0.0,3.0,PubMatic,,
2025-05-17,amd.com,0.04,116.0,PubMatic,,
2025-05-17,airbaltic.com,0.0,1.0,PubMatic,,
2025-05-17,nationalguard.com,0.0,5.0,PubMatic,,
2025-05-17,fedex.com,0.27,407.0,PubMatic,,
2025-05-17,goldstrike.com,0.01,1.0,PubMatic,,
2025-05-17,suzukicycles.com,0.09,64.0,PubMatic,,
2025-05-17,familydollar.com,0.2,151.0,PubMatic,,
2025-05-17,sandals.com,0.0,0.0,PubMatic,,
2025-05-17,att.com,0.23,117.0,PubMatic,,
2025-05-17,google.com,1.19,1226.0,PubMatic,,
2025-05-17,lifelock.com,0.54,135.0,PubMatic,,
2025-05-17,nike.com,0.02,15.0,PubMatic,,
2025-05-17,target.com,0.08,242.0,PubMatic,,
2025-05-17,americangirl.com,0.0,14.0,PubMatic,,
2025-05-17,nikonusa.com,0.28,593.0,PubMatic,,
2025-05-17,pge.com,0.07,178.0,PubMatic,,
2025-05-17,zipcar.com,0.0,0.0,PubMatic,,
2025-05-17,gm.com,0.01,20.0,PubMatic,,
2025-05-17,dillards.com,0.05,63.0,PubMatic,,
2025-05-17,thelaughingcow.com,0.0,16.0,PubMatic,,
2025-05-17,tacocabana.com,0.12,94.0,PubMatic,,
2025-05-17,beazer.com,0.05,39.0,PubMatic,,
2025-05-17,salesforce.com,0.11,29.0,PubMatic,,
2025-05-17,callawaygolf.com,0.0,0.0,PubMatic,,
2025-05-17,geico.com,0.2,228.0,PubMatic,,
2025-05-17,usfca.edu,0.18,116.0,PubMatic,,
2025-05-17,comcast.com,0.2,157.0,PubMatic,,
2025-05-17,disney.com,0.01,25.0,PubMatic,,
2025-05-17,royalcaribbean.com,4.5,3661.0,PubMatic,,
2025-05-17,speedousa.com,0.06,125.0,PubMatic,,
2025-05-17,lennar.com,0.05,24.0,PubMatic,,
2025-05-17,grainger.com,0.02,13.0,PubMatic,,
2025-05-17,barcelo.com,0.02,43.0,PubMatic,,
2025-05-17,extendedstayamerica.com,0.25,136.0,PubMatic,,
2025-05-17,sccu.com,3.48,938.0,PubMatic,,
2025-05-17,eastwood.com,0.0,0.0,PubMatic,,
2025-05-17,xoom.com,13.5,3425.0,PubMatic,,
2025-05-17,whitehouseblackmarket.com,0.01,21.0,PubMatic,,
2025-05-17,lawndoctor.com,0.25,195.0,PubMatic,,
2025-05-17,miracle-ear.com,0.42,322.0,PubMatic,,
2025-05-17,soma.com,0.0,0.0,PubMatic,,
2025-05-17,express.com,0.0,0.0,PubMatic,,
2025-05-17,glenlerner.com,0.0,0.0,PubMatic,,
2025-05-17,upmc.com,0.0,1.0,PubMatic,,
2025-05-17,josbank.com,0.0,0.0,PubMatic,,
2025-05-17,csuohio.edu,0.0,1.0,PubMatic,,
2025-05-17,cricut.com,0.0,0.0,PubMatic,,
2025-05-17,swisssense.nl,0.0,0.0,PubMatic,,
2025-05-17,lenovo.com,0.86,1339.0,PubMatic,,
2025-05-17,ray-ban.com,0.02,36.0,PubMatic,,
2025-05-17,starz.com,0.4,689.0,PubMatic,,
2025-05-17,kenmore.com,0.0,0.0,PubMatic,,
2025-05-17,mlb.com,0.16,63.0,PubMatic,,
2025-05-17,chicos.com,0.26,54.0,PubMatic,,
2025-05-17,wayside-furniture.com,0.0,5.0,PubMatic,,
2025-05-17,winndixie.com,0.0,1.0,PubMatic,,
2025-05-17,wagnerequipment.com,0.01,5.0,PubMatic,,
2025-05-17,facebook.com,2.64,1790.0,PubMatic,,
2025-05-17,kcrep.org,0.0,0.0,PubMatic,,
2025-05-17,bloomingdales.com,0.1,36.0,PubMatic,,
2025-05-17,webroot.com,0.01,6.0,PubMatic,,
2025-05-17,dyson.com,0.21,322.0,PubMatic,,
2025-05-17,lindstromair.com,0.0,0.0,PubMatic,,
2025-05-17,lowes.com,0.61,406.0,PubMatic,,
2025-05-17,fdj.fr,0.0,3.0,PubMatic,,
2025-05-17,publicstorage.com,0.02,15.0,PubMatic,,
2025-05-17,cjponyparts.com,0.0,0.0,PubMatic,,
2025-05-17,eureka.com,0.08,97.0,PubMatic,,
2025-05-17,flysas.com,0.11,36.0,PubMatic,,
2025-05-17,marquette.edu,0.0,3.0,PubMatic,,
2025-05-17,jockey.com,0.0,0.0,PubMatic,,
2025-05-17,bcbs.com,0.01,5.0,PubMatic,,
2025-05-17,goodyear.com,0.04,34.0,PubMatic,,
2025-05-17,guitarcenter.com,0.0,0.0,PubMatic,,
2025-05-17,novartis.com,0.39,95.0,PubMatic,,
2025-05-17,skechers.com,0.64,486.0,PubMatic,,
2025-05-17,economist.com,0.51,1698.0,PubMatic,,
2025-05-17,vistaprint.ca,0.16,144.0,PubMatic,,
2025-05-17,consumerreports.org,0.34,199.0,PubMatic,,
2025-05-17,contiki.com,0.01,37.0,PubMatic,,
2025-05-17,energycitizens.org,0.0,3.0,PubMatic,,
2025-05-17,flashtalking.com,0.1,384.0,PubMatic,,
2025-05-17,jtv.com,0.0,2.0,PubMatic,,
2025-05-17,gsk.com,0.0,6.0,PubMatic,,
2025-05-17,pepsi.com,0.08,243.0,PubMatic,,
2025-05-17,vodafone.com.au,0.0,4.0,PubMatic,,
2025-05-17,serta.com,0.0,0.0,PubMatic,,
2025-05-17,visitmo.com,0.01,13.0,PubMatic,,
2025-05-17,riu.com,0.0,0.0,PubMatic,,
2025-05-17,singaporegp.sg,0.0,0.0,PubMatic,,
2025-05-17,sargento.com,8.16,3720.0,PubMatic,,
2025-05-17,lithiachryslerreno.com,0.63,89.0,PubMatic,,
2025-05-17,lithiafordboise.com,0.13,25.0,PubMatic,,
2025-05-17,dermstore.com,0.0,0.0,PubMatic,,
2025-05-17,intuit.com,2.27,926.0,PubMatic,,
2025-05-17,citizensbank.com,0.48,172.0,PubMatic,,
2025-05-17,zantacotc.com,0.0,0.0,PubMatic,,
2025-05-17,dannon.com,0.0,2.0,PubMatic,,
2025-05-17,allianz.com,0.04,28.0,PubMatic,,
2025-05-17,bloomberg.com,0.36,712.0,PubMatic,,
2025-05-17,fultonhomes.com,0.0,0.0,PubMatic,,
2025-05-17,petco.com,3.45,2542.0,PubMatic,,
2025-05-17,wingstop.com,0.01,10.0,PubMatic,,
2025-05-17,in.gov,0.49,234.0,PubMatic,,
