AdaptMX Report - PGAM Media
Generated 2025-05-27 (UTC)

Hour,Impressions,Revenue
2025-05-23T23:00:00+00:00,30519,31.231389611992412
2025-05-23T22:00:00+00:00,30389,28.700096466318662
2025-05-23T21:00:00+00:00,31743,31.939966192084206
2025-05-23T20:00:00+00:00,31093,30.91219215320879
2025-05-23T19:00:00+00:00,30978,29.05930923927481
2025-05-23T18:00:00+00:00,33592,32.055343567973964
2025-05-23T17:00:00+00:00,29618,34.443240533394025
2025-05-23T16:00:00+00:00,34942,36.80432359265834
2025-05-23T15:00:00+00:00,28246,34.246971794729035
2025-05-23T14:00:00+00:00,30872,38.77192718351176
2025-05-23T13:00:00+00:00,29386,39.35560462682188
2025-05-23T12:00:00+00:00,25549,33.84820952126741
2025-05-23T11:00:00+00:00,19844,26.7709001449062
2025-05-23T10:00:00+00:00,14411,20.695505302337864
2025-05-23T09:00:00+00:00,10386,14.514177837158384
2025-05-23T08:00:00+00:00,9837,11.950718776365271
2025-05-23T07:00:00+00:00,12829,14.63418546265046
2025-05-23T06:00:00+00:00,15616,17.48208733292166
2025-05-23T05:00:00+00:00,16381,18.361341768746538
2025-05-23T04:00:00+00:00,17903,18.21091870590883
2025-05-23T03:00:00+00:00,19977,17.699117944258962
2025-05-23T02:00:00+00:00,26933,25.295086588822933
2025-05-23T01:00:00+00:00,27745,27.388087599585635
2025-05-23T00:00:00+00:00,28761,27.36916445331131
2025-05-22T23:00:00+00:00,29210,28.73665588630237
2025-05-22T22:00:00+00:00,34018,32.76700078980078
2025-05-22T21:00:00+00:00,21308,23.233022126488542
2025-05-22T20:00:00+00:00,18988,20.849924202056123
2025-05-22T19:00:00+00:00,26825,27.878521700054716
2025-05-22T18:00:00+00:00,26093,27.378131012348724
2025-05-22T17:00:00+00:00,28387,31.39115556991972
2025-05-22T16:00:00+00:00,29648,34.104553912512046
2025-05-22T15:00:00+00:00,22806,27.381781345509495
2025-05-22T14:00:00+00:00,27055,32.377718314275036
2025-05-22T13:00:00+00:00,26104,33.4843859902183
2025-05-22T12:00:00+00:00,30358,38.607304858839214
2025-05-22T11:00:00+00:00,24625,37.21906336172161
2025-05-22T10:00:00+00:00,21088,33.70667887968141
2025-05-22T09:00:00+00:00,14501,22.49135420693316
2025-05-22T08:00:00+00:00,13757,18.77170090904036
2025-05-22T07:00:00+00:00,15331,18.094326069267172
2025-05-22T06:00:00+00:00,14985,18.249801750086835
2025-05-22T05:00:00+00:00,12905,14.926553195539025
2025-05-22T04:00:00+00:00,19814,21.62157719676004
2025-05-22T03:00:00+00:00,21932,20.824245017500267
2025-05-22T02:00:00+00:00,23867,23.655243060752845
2025-05-22T01:00:00+00:00,22433,25.168737828074246
2025-05-22T00:00:00+00:00,22288,26.523048920625065
